Имя;Фамилия;Отчество;Дата рождения;Серия паспорта;Номер паспорта;Пол;Место рождения;Паспорт выдан;Дата выдачи;Код подразделения
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100034;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100035;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100036;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100037;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100038;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100039;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100040;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100041;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100042;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100043;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100044;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100045;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100046;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100047;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100048;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100049;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100050;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100051;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100052;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100053;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100054;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100055;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100056;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100057;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100058;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100059;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100060;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100061;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100062;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100063;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100064;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100065;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100066;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100067;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100068;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100069;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100070;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100071;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100072;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100073;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100074;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100075;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100076;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100077;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100078;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100079;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100080;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100081;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100082;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100083;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100084;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100085;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100086;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100087;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100088;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100089;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100090;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100091;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100092;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100093;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100094;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100095;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100096;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100097;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100098;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100099;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100100;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100101;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100102;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100103;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100104;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100105;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100106;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100107;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100108;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100109;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100110;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100111;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100112;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100113;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100114;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100115;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100116;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100117;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100118;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100119;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100120;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100121;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100122;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100123;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100124;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100125;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100126;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100127;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100128;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100129;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100130;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100131;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100132;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100133;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100134;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100135;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100136;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100137;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100138;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100139;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100140;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100141;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100142;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100143;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100144;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100145;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100146;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100147;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100148;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100149;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100150;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100151;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100152;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100153;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100154;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100155;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100156;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100157;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-001
Александр;Иванов;Петрович;15.08.1990;1234;100158;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100159;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
Андрей;Соколов;Николаевич;03.07.1988;3268;100160;мужской;г. Екатеринбург;ГУ МВД по Свердловской области;05.08.2014;660-009
Дмитрий;Петров;Сергеевич;05.12.1995;5555;100161;мужской;г. Казань;ОВД Казани;20.07.2017;162-003
Елена;Кузнецова;Дмитриевна;23.04.1992;8806;100162;женский;г. Новосибирск;ОВД Кировского района;10.11.2016;540-007
Александр;Кузнецов;Викторович;07.09.1991;1902;100163;мужской;г. Краснодар;ОВД Прикубанского района;12.12.2020;231-004
Сергей;Ложкин;Алексеевич;01.01.1980;2514;100164;мужской;г. Москва;УМВД по Москве;01.01.2010;770-001
Евгения;Самсонова;Анатольевна;14.02.1994;5678;100165;женский;г. Екатеринбург;ГУ МВД по Свердловской области;15.03.2012;660-009
Александр;Иванов;Петрович;15.08.1990;1234;100166;мужской;г. Москва;ОВД ЦАО;01.09.2015;770-001
Мария;Смирнова;Алексеевна;12.03.1985;4321;100167;женский;г. Санкт-Петербург;УФМС СПб;14.05.2012;780-002
